time_s,path_error_mm,heading_error_deg,v_left_target,v_right_target,v_left_actual,v_right_actual,omega_cmd,gyro_z,yaw_error,wheel_pi_turn,turn_pwm,left_pwm,right_pwm,x_m,y_m
2.54,2.9613211024975103,0.07848716938200001,0.5124991591442849,0.28750084085571515,0.49057019472449515,0.3078585956922635,-1.0513940106942514,-0.8537925188422042,-0.19760149185204723,-3.0381490894283396,-22.70420499098938,55,13,0.4437305526592412,-0.7180311775461593
2.55,2.965458194162081,0.042691002797491155,0.5124991591442849,0.28750084085571515,0.49159330526106904,0.30628501652481666,-1.0513940106942514,-0.8659265828796837,-0.1854674278145677,-2.880840765915597,-22.59395272564448,55,13,0.44193765979621946,-0.7215963470269097
2.56,2.9668390359545964,0.00020548360730155834,0.5124392674052057,0.2875607325947943,0.49244461028417946,0.3049188436353298,-1.0508342748150068,-0.8762886292002322,-0.1745456456147746,-2.7340528360578977,-22.483630593249963,55,13,0.44011514285541714,-0.7251434782640098
2.57,2.9650399921947987,-0.04798915658033246,0.5124392674052057,0.2875607325947943,0.4931483411346492,0.303742957903968,-1.0508342748150068,-0.8850718842555196,-0.16576239055948716,-2.605996362649897,-22.4029566752724,55,13,0.43826272741301,-0.7286723119657782
2.58,2.9597017805716557,-0.10089098097533931,0.49103926740520576,0.3089607325947943,0.4934239180591652,0.3030437416973415,-0.8508342748150068,-0.8896269923449704,0.038792717529963605,-0.7742800531007233,-16.73411635312281,53,19,0.43638018199597056,-0.732182636675827
2.59,2.9508397874519443,-0.14754419287411993,0.49103926740520576,0.3089607325947943,0.49095511653136725,0.3051417561862717,-0.8508342748150068,-0.8682867305845584,0.017452455769551567,-0.6923623509985721,-16.810297701778133,53,19,0.43446759140463515,-0.7356744335231413
2.6,2.939178140162515,-0.1829500966578507,0.4878825320764626,0.31211746792353745,0.4887403942729729,0.3070413107091191,-0.8213320754809584,-0.8490611381488494,0.02772906266789099,-0.5823038807057817,-16.106175477086456,52,20,0.4325256454255241,-0.7391480428018856
2.61,2.9254907735143654,-0.20701512299544136,0.4878825320764626,0.31211746792353745,0.48643034601921603,0.3090929606946717,-0.8213320754809584,-0.8286793706754411,0.007347295194482628,-0.7112373284195954,-16.254202415848756,52,20,0.430555057779188,-0.742603851559504
2.62,2.9105525732727835,-0.22042424863296123,0.48773406900622235,0.3122659309937777,0.4844446033140588,0.3108766183366386,-0.8199445701516105,-0.8110653503617765,-0.00887921978983397,-0.8436526484028937,-16.3602806169329,52,20,0.4285565267250791,-0.746042262793518
2.63,2.895047678488956,-0.2245772733308375,0.48773406900622235,0.3122659309937777,0.4827337471624527,0.3124397075357254,-0.8199445701516105,-0.7957665403118097,-0.024178029839800774,-0.9703850582382326,-16.492805823356605,52,19,0.426530660118558,-0.7494636412923232
2.64,2.8795689705794643,-0.22073717366743337,0.48769843854053546,0.3123015614594646,0.48128250863108935,0.31379408525261165,-0.8196115751451911,-0.782656184011578,-0.036955391133613125,-1.0809858026119306,-16.60036584231502,52,19,0.4244779805064539,-0.7528683040617672
2.65,2.8646263853241365,-0.21002022067923887,0.48769843854053546,0.3123015614594646,0.4800527053340944,0.31497327656559737,-0.8196115751451911,-0.77139919985279,-0.04821237529240108,-1.1824205143785174,-16.701987201444734,53,19,0.4223989376630321,-0.7562565163114515
2.66,2.8506585258386,-0.19339464493735564,0.4877506486856545,0.31224935131434556,0.47901870145511116,0.31599722918549844,-0.8200995204266772,-0.7617825806991247,-0.058316939727552475,-1.278823924826008,-16.80320748107592,53,19,0.4202939234947233,-0.7596284906115166
2.67,2.838041120727581,-0.1717249424329703,0.4877506486856545,0.31224935131434556,0.4781579558402356,0.31688201471722416,-0.8200995204266772,-0.7536258930981844,-0.06647362732849282,-1.3633358219053968,-16.877990152447644,53,19,0.4181632836341139,-0.7629843859947322
2.68,2.8270950035904168,-0.14574225862608386,0.487870935559217,0.31212906444078303,0.4774397390064824,0.31765138637178836,-0.8212236968151121,-0.7466745450219346,-0.07454915179317745,-1.4507814473327105,-16.973345052412526,53,19,0.4160073279103923,-0.7663243084012257
2.69,2.8180936861554,-0.11611639304887257,0.487870935559217,0.31212906444078303,0.4768550571693486,0.318307144650091,-0.8212236968151121,-0.7408780958843815,-0.08034560093073062,-1.5233061862164012,-17.027152562477156,53,19,0.41382633965665416,-0.769648312503676
2.7,2.8112681593309587,-0.08339837273523155,0.48804387148143036,0.3119561285185697,0.47637005211362415,0.31887603126184016,-0.8228399203871992,-0.7359533684662806,-0.08688655192091865,-1.6039000521344347,-17.118052077438946,53,19,0.4116205817973687,-0.7729564035740056
2.71,2.8068136935961343,-0.048111351327127176,0.48804387148143036,0.3119561285185697,0.4759868267353222,0.3193491904078649,-0.8228399203871992,-0.7319515716236321,-0.0908883487635671,-1.6661890011141975,-17.155819578997367,53,19,0.4093903036800333,-0.776248541885987
2.72,2.804892208114554,-0.01067066319585407,0.48825731066262107,0.311742689337379,0.47566965977088427,0.3197562231451814,-0.8248346790899164,-0.7285674608677707,-0.09626721822214568,-1.7395037842512804,-17.24342002128428,53,19,0.40713574326432544,-0.7795246459869203
2.73,2.8056385539093434,0.02851118788097478,0.48825731066262107,0.311742689337379,0.4754297621803869,0.32008067228327275,-0.8248346790899164,-0.7259303266220288,-0.09890435246788754,-1.7910057135654918,-17.268977059294365,53,19,0.4048571316338798,-0.7827845992923698
2.74,2.8091599431986944,0.06895493926144773,0.5096573106626211,0.29034268933737895,0.4755423091051715,0.3200431948609932,-1.0248346790899163,-0.7266313749727956,-0.2982033041171207,-3.552748222558077,-22.890150977609526,55,13,0.4025546909813653,-0.7860282537435159
2.75,2.8152248096494934,0.10019696210084733,0.5096573106626211,0.29034268933737895,0.47833775109187215,0.3173104108722493,-1.0248346790899163,-0.7524642066337518,-0.2723704724561645,-3.571901502803879,-22.77300473284901,55,13,0.4002283802113184,-0.7892552520892308
2.76,2.8229237662835795,0.11766686191349998,0.5124924487289617,0.28750755127103833,0.4808252412114489,0.3148715856462406,-1.0513312965323522,-0.7754843718000386,-0.27584692473231365,-3.5996327364657263,-23.357872512175685,55,13,0.39787762343784233,-0.7924648257978237
2.77,2.8313279754299456,0.12179343821417472,0.5124924487289617,0.28750755127103833,0.4833296595489354,0.3124016603368334,-1.0513312965323522,-0.7987289682808505,-0.25260232825150175,-3.4198905853807284,-23.181847060640237,55,13,0.3955018467684586,-0.7956561771584881
2.78,2.8395398416857778,0.11364730028408848,0.5124953258574946,0.28750467414250547,0.4854837851538823,0.31026907840842327,-1.0513581855840615,-0.8187603118946682,-0.23259787368939322,-3.2328797403479355,-23.014589406187007,55,13,0.3931005156138709,-0.798828514681469
2.79,2.846773750361719,0.09494525605101373,0.5124953258574946,0.28750467414250547,0.487328558722512,0.3084354649466635,-1.0513581855840615,-0.8359490363357404,-0.2154091492483211,-3.0670177983597346,-22.863616123910873,55,13,0.3906731943655557,-0.8019811082299835
2.8,2.852355279368829,0.06719385565858642,0.5124632165056326,0.2875367834943674,0.4889048411183732,0.3068637559048213,-1.0510580981834823,-0.8506592766988404,-0.20039882148464183,-2.9164533057440702,-22.723105297785867,55,13,0.38821953980264506,-0.8051132960494177
2.81,2.855707385884957,0.03171393720429594,0.5124632165056326,0.2875367834943674,0.49024822066927676,0.30552322860103276,-1.0510580981834823,-0.8632008975151587,-0.18785720066832357,-2.7831157678974456,-22.60913074425332,55,13,0.3857392843458855,-0.8082244830638013
2.82,2.8563388471558016,-0.010194337080700307,0.4910632165056326,0.30893678349436743,0.49108316375496835,0.3046951450821767,-0.8510580981834823,-0.8709720498728583,0.01991395168937593,-0.9445778380413316,-16.911294900738664,53,19,0.38323222166216814,-0.8113141393219976
2.83,2.854152330894031,-0.04731370251875829,0.4910632165056326,0.30893678349436743,0.4891025742711054,0.3066929505479443,-0.8510580981834823,-0.8523814192671076,0.0013233210836253173,-0.8529247078441795,-16.96247557309437,53,19,0.3806984391052813,-0.8143820010580027
2.84,2.849776373130913,-0.07442450248563481,0.4881251763719191,0.31187482362808094,0.4873172317881179,0.30851256615511,-0.8235997791768137,-0.83553582071499,0.01193604153817629,-0.7464805338872731,-16.294127563226496,52,20,0.3781385614677061,-0.8174282951526287
